names,scores,distances,rect
GEN2017_LM190117281037-153,"[13.915638, 11.978761, 12.147018, 23.638807, 48.46517, 16.225473, 27.752125]","[58.309518948453004, 44.721359549995796, 53.150729063673246, 41.23105625617661, 42.42640687119285, 41.23105625617661, 72.11102550927978]","[(354, 169, 54, 254), (762, 247, 87, 86), (657, 353, 230, 161), (842, 269, 115, 302), (349, 270, 123, 156), (400, 535, 150, 155), (442, 500, 308, 121)]"
MAG2016_AS190516210351-290,"[6.8398647, 7.1461854, 7.7247043, 8.017537, 11.552173, 10.104567, 14.198694]","[52.20153254455275, 10.0, 32.01562118716424, 20.0, 39.05124837953327, 36.05551275463989, 10.0]","[(284, 119, 74, 284), (742, 297, 87, 86), (637, 413, 230, 161), (862, 249, 369, 342), (369, 290, 153, 196), (380, 555, 150, 155), (512, 540, 308, 121)]"
GIU2018_SA120618210540-070,"[63.636368, 13.37332, 27.036097, 28.426573, 17.936724, 11.650997, 28.621702]","[43.01162633521314, 36.40054944640259, 64.03124237432849, 11.180339887498949, 10.0, 50.0, 67.08203932499369]","[(374, 169, 104, 284), (712, 297, 97, 86), (667, 423, 230, 151), (882, 239, 309, 342), (369, 300, 123, 156), (330, 565, 150, 155), (532, 480, 308, 121)]"
NOV2017_AE021117261234-229,"[15.733762, 18.959143, 6.6605263, 7.849925, 27.72008, 11.709586, 27.78141]","[11.180339887498949, 36.05551275463989, 20.0, 43.01162633521314, 10.0, 50.0, 64.03124237432849]","[(334, 109, 64, 254), (762, 257, 87, 86), (597, 383, 230, 151), (852, 229, 219, 352), (379, 310, 123, 156), (360, 575, 150, 155), (452, 580, 308, 121)]"
MAR2016_AC230316131138-270,"[2.6421502, 8.857065, 153.18472, 28.036526, 38.80209, 15.477596, 23.798164]","[10.0, 10.0, 20.0, 14.142135623730951, 50.0, 58.309518948453004, 22.360679774997898]","[(314, 119, 54, 254), (742, 297, 87, 86), (637, 383, 230, 151), (872, 229, 209, 322), (349, 260, 123, 156), (390, 575, 150, 155), (522, 550, 308, 121)]"
GIU2018_MA060618061045-067,"[6.870524, 7.7947006, 112.2414, 7.285792, 22.367216, 11.997545, 15.633905]","[26.92582403567252, 11.180339887498949, 50.0, 31.622776601683793, 40.0, 50.99019513592785, 38.07886552931954]","[(304, 129, 64, 254), (752, 277, 97, 86), (657, 353, 230, 151), (882, 239, 167, 302), (379, 260, 123, 156), (370, 475, 150, 155), (472, 530, 318, 131)]"
OTT2017_ZE311017230832-217,"[13.17632, 10.32472, 7.593521, 21.838116, 22.829865, 10.846716, 15.331179]","[14.142135623730951, 30.0, 31.622776601683793, 11.180339887498949, 14.142135623730951, 31.622776601683793, 10.0]","[(314, 109, 54, 254), (742, 317, 87, 86), (627, 413, 230, 151), (862, 229, 205, 322), (369, 290, 123, 156), (370, 495, 150, 155), (502, 530, 308, 121)]"
FEB2018_BA060218251141-025,"[10.208063, 19.047728, 17.200533, 26.518534, 21.380606, 10.153856, 17.113838]","[58.309518948453004, 10.0, 20.615528128088304, 82.46211251235322, 26.92582403567252, 22.360679774997898, 20.0]","[(354, 169, 54, 254), (732, 287, 87, 86), (637, 383, 230, 161), (862, 169, 291, 342), (359, 290, 133, 156), (350, 545, 150, 155), (522, 540, 308, 121)]"
GEN2016_CD280116101133-256,"[16.392963, 18.8701, 175.80655, 148.83936, 45.763874, 9.156524, 28.739851]","[25.495097567963924, 22.360679774997898, 79.05694150420949, 64.03124237432849, 36.05551275463989, 11.180339887498949, 58.309518948453004]","[(324, 149, 64, 264), (742, 277, 107, 106), (557, 343, 240, 161), (902, 189, 305, 302), (349, 320, 123, 156), (370, 525, 160, 175), (532, 590, 308, 121)]"
MAG2017_PG190517220447-181,"[3.909046, 15.308266, 8.147582, 6.621794, 15.417735, 10.553566, 15.616247]","[14.142135623730951, 20.0, 10.0, 18.027756377319946, 15.811388300841896, 52.20153254455275, 22.360679774997898]","[(314, 129, 54, 254), (762, 287, 87, 86), (627, 383, 230, 151), (872, 239, 198, 302), (379, 300, 133, 186), (350, 575, 160, 155), (522, 550, 308, 121)]"
GEN2018_GP100118050432-006,"[3.2887192, 8.913933, 9.913006, 6.77216, 17.18866, 10.3613615, 18.438375]","[31.622776601683793, 15.811388300841896, 0.0, 29.154759474226502, 31.622776601683793, 36.05551275463989, 25.495097567963924]","[(294, 129, 54, 254), (742, 277, 97, 96), (617, 383, 230, 151), (882, 219, 285, 312), (369, 300, 163, 176), (390, 545, 150, 155), (532, 550, 318, 131)]"
SET2017_IA060917160536-207,"[19.549786, 7.5178266, 5.329702, 236.68721, 8.442819, 12.812128, 17.527779]","[47.43416490252569, 30.0, 7.0710678118654755, 50.0, 11.180339887498949, 38.07886552931954, 41.23105625617661]","[(344, 169, 64, 264), (712, 287, 87, 86), (627, 383, 240, 161), (892, 199, 160, 302), (369, 300, 123, 166), (400, 515, 160, 165), (462, 530, 308, 121)]"
